cluster,lat,lon,dist_to_parking
0,37.48434,127.12246,345.0053931810944
1,37.48921,127.14667,2324.336912445098
2,37.49803,127.15166999999998,3012.798542565239
3,37.4798337,127.1310225,1226.2512397663727
4,37.5550711,126.9238244,0.0
5,37.5571419,126.9261901,0.0
6,37.48818,127.01751,0.0
7,37.49672,127.11744,956.3798096235527
8,37.5477846,126.90956360000001,60.89235133436803
9,37.52998,127.12875000000001,1937.6695200106012
10,37.48689701053541,126.928177,1809.9284747074742
11,37.54208,126.84656,556.3256993679374
12,37.59418,126.92555,1335.666330657966
13,37.52782,126.83692,1589.8994428895926
14,37.50355,127.13379,1723.1499640356644
15,37.64802,127.07678,0.0
16,37.57157230764617,126.87280629999998,1877.1561425100792
17,37.5067997,126.9291349,0.0
18,37.54294,127.12733,1728.8951372664899
19,37.5141564,127.1195472,0.0
20,37.64643,127.04326,0.0
21,37.4730961,126.9282982,1089.3243445338335
22,37.484665,126.94849610000001,2.24509261664856e-09
23,37.65347,127.02715,0.0
24,37.53608,126.87585000000001,1136.5804838541496
25,37.5501812,126.9479037,408.4261977274279
26,37.664419610276674,127.03333018972333,0.04644175271919622
27,37.549927,126.9592897,0.0
28,37.5539189,126.8377194,1090.0051162827604
29,37.55586014573713,126.90087009333926,0.018174412074054885
30,37.4988159,126.9441045,0.0
31,37.4856963,126.9723525,1232.884932131524
32,37.5182544,127.01240280000002,2.2440828533208324e-09
33,37.59547,126.90718,2574.3213006123988
34,37.46838,127.03609999999999,2.2455818980198527e-09
35,37.5510043,126.9419496,419.54494887533264
36,37.5498936,126.86025,0.0
37,37.5064393,126.963687,1924.2264050463973
38,37.5567609,126.9663037,979.6690123742234
39,37.49882005289474,127.06566006615789,232.06029851464223
40,37.4878395,127.04385689999998,738.647454347671
41,37.5282501,126.8914746,1417.2281012493424
42,37.54743,126.92473,504.2084979053285
43,37.53689,126.89638,1527.2535252091538
44,37.53906,126.89280000000001,1621.2966836611906
45,37.5462035,126.9359375,659.9978054822658
46,37.5415852,126.94263150000002,1250.5712958818663
47,37.5663502,126.85255240000001,0.0
48,37.5257536,127.0523217,0.0
49,37.4957573,126.89993600000001,1363.842188636529
50,37.5223206,127.0277019,0.0
51,37.4945849,126.8845477,0.0
52,37.5082619,126.89938659999999,1464.2124672727532
53,37.61261,126.92278350000001,1056.5683392293533
54,37.60499411619718,126.91488559999999,1720.3694247304893
55,37.49988,127.03855999999999,2.2446353194451004e-09
56,37.56537,126.94563,1472.9712095125535
57,37.5123018,127.0294935,0.0
58,37.5267088,126.9238,2263.244604336564
59,37.57234,126.93084,1738.9413012219945
60,37.4955756,126.9195788,1506.0907989358027
61,37.50312,127.0014,0.0
62,37.59296,126.93733000000002,1249.548711936824
63,37.5122807,127.0855986,0.0
64,37.5626596,126.9226107,689.9126900070085
65,37.56723,127.1713,0.0
66,37.66727,127.07242,0.0
67,37.55007,126.92938000000001,0.0
68,37.4999549,127.1232661,1001.3266502748568
69,37.5575531,126.9350294,455.20518653525403
70,37.5162407,126.8521196,2337.6417975075706
71,37.566575,126.826243,0.0
72,37.63793,127.07251,0.0
73,37.4385754,126.9043847,1398.0982870329715
74,37.54678,126.9084,0.0
75,37.56775,126.90263,0.0
76,37.605,126.91198,1975.8641035857218
77,37.53857,126.95576,257.6743243839351
78,37.55575,126.96685,929.2095930256181
79,37.5128036,126.8929788,969.8229857848293
80,37.52616,126.89724000000001,1900.8136822965016
81,37.4762327,127.0439647,557.18921844106
82,37.5239764,126.90656220000001,2540.82103163267
83,37.51777,126.90367999999998,2059.0134774487933
84,37.5223052,126.8990946,2027.012380496811
85,37.48754,127.08705,0.0
86,37.57953,126.91156,1528.1197103106792
87,37.468399,126.8979571,0.0
88,37.5147838,127.0543618,639.3038058772452
89,37.60789016862745,127.0614341882353,24.153076072402786
90,37.4507049,126.9085555,0.0
91,37.4534615,127.0664442,2600.734866024605
92,37.44505,127.05984999999998,2898.4582914679468
93,37.50479,127.11369,0.0
94,37.6040879,126.93172330000002,233.66194287386833
95,37.5582352,127.13085420000002,2.2428799466368007e-09
96,37.56258,126.92196000000001,710.408349540337
97,37.4798789,126.9939103,0.0
98,37.5573562,126.8699304,908.8747876617731
